Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit,Codelist
dd32_iii_flag,Qualitätsflag für Windrichtung zum Beobachtungstermin III,"Qualitätsflag für Windrichtung in 32 Sektoren, aus dem Stundenwert zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ) 8=E,16=S, 24=W, 32=N, 0=Calme",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
erdb_i,Erdbodenzustand zum Beobachtungstermin I,Erdbodenzustand zum Beobachtungstermin I (06 UTC),code,"[{'key': 0, 'value': 'trocken'}, {'key': 1, 'value': 'feucht'}, {'key': 2, 'value': 'nass (Pfützen)'}, {'key': 3, 'value': 'hartgefroren und trocken'}, {'key': 4, 'value': 'Glatteis, Schnee oder Schneematsch'}, {'key': 5, 'value': 'Eis, Schnee oder Schneematsch, weniger als die Hälfte des Bodens bedeckt (Flecken)'}, {'key': 6, 'value': 'Eis, Schnee oder Schneematsch, mehr als die Hälfte des Bodens bedeckt (durchbrochen)'}, {'key': 7, 'value': 'Eis, Schnee oder Schneematsch, vollständig bedeckt'}, {'key': 8, 'value': 'lockerer, trockener Schnee, mehr als die Hälfte aber nicht der ganze Boden bedeckt (durchbrochen)'}, {'key': 9, 'value': 'lockerer, trockener Schnee, vollständig bedeckt'}, {'key': 99, 'value': 'keine Angabe'}]"
erdb_i_flag,Qualitätsflag für Erdbodenzustand zum Beobachtungstermin I,Qualitätsflag für Erdbodenzustand zum Beobachtungstermin I (06 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
erdb_ii,Erdbodenzustand zum Beobachtungstermin II,Erdbodenzustand zum Beobachtungstermin II (13 UTC),code,"[{'key': 0, 'value': 'trocken'}, {'key': 1, 'value': 'feucht'}, {'key': 2, 'value': 'nass (Pfützen)'}, {'key': 3, 'value': 'hartgefroren und trocken'}, {'key': 4, 'value': 'Glatteis, Schnee oder Schneematsch'}, {'key': 5, 'value': 'Eis, Schnee oder Schneematsch, weniger als die Hälfte des Bodens bedeckt (Flecken)'}, {'key': 6, 'value': 'Eis, Schnee oder Schneematsch, mehr als die Hälfte des Bodens bedeckt (durchbrochen)'}, {'key': 7, 'value': 'Eis, Schnee oder Schneematsch, vollständig bedeckt'}, {'key': 8, 'value': 'lockerer, trockener Schnee, mehr als die Hälfte aber nicht der ganze Boden bedeckt (durchbrochen)'}, {'key': 9, 'value': 'lockerer, trockener Schnee, vollständig bedeckt'}, {'key': 99, 'value': 'keine Angabe'}]"
erdb_ii_flag,Qualitätsflag für Erdbodenzustand zum Beobachtungstermin II,Qualitätsflag für Erdbodenzustand zum Beobachtungstermin II (13 UTC),code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
erdb_iii,Erdbodenzustand zum Beobachtungstermin III,"Erdbodenzustand zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': 0, 'value': 'trocken'}, {'key': 1, 'value': 'feucht'}, {'key': 2, 'value': 'nass (Pfützen)'}, {'key': 3, 'value': 'hartgefroren und trocken'}, {'key': 4, 'value': 'Glatteis, Schnee oder Schneematsch'}, {'key': 5, 'value': 'Eis, Schnee oder Schneematsch, weniger als die Hälfte des Bodens bedeckt (Flecken)'}, {'key': 6, 'value': 'Eis, Schnee oder Schneematsch, mehr als die Hälfte des Bodens bedeckt (durchbrochen)'}, {'key': 7, 'value': 'Eis, Schnee oder Schneematsch, vollständig bedeckt'}, {'key': 8, 'value': 'lockerer, trockener Schnee, mehr als die Hälfte aber nicht der ganze Boden bedeckt (durchbrochen)'}, {'key': 9, 'value': 'lockerer, trockener Schnee, vollständig bedeckt'}, {'key': 99, 'value': 'keine Angabe'}]"
erdb_iii_flag,Qualitätsflag für Erdbodenzustand zum Beobachtungstermin III,"Qualitätsflag für Erdbodenzustand zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
ffx,Maximale Windgeschwindigkeit (Spitzenböe),"Windgeschwindigkeit, Tagesmaximum aus den Stundenwerten 0-24 Uhr MOZ (23 Vortag - 23 Tag UTC)",m/s,
ffx_flag,Qualitätsflag für Maximale Windgeschwindigkeit (Spitzenböe),"Qualitätsflag für Windgeschwindigkeit, Tagesmaximum aus den Stundenwerten 0-24 Uhr MOZ (23 Vortag - 23 Tag UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
gew,Gewitter Indikator,"Beobachtung von Gewitter, historisch beobachtet, seit 01.01.2019 aus ALDIS Blitzmeldungen berechnet",bool,"[{'key': 0, 'value': 'nein'}, {'key': 1, 'value': 'ja'}]"
