id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
2117,11297,Horn Wasserwerk,15.643888,48.674999,308.0,2019-04-15 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,199,2020-01-01 00:00:00+00:00,,nein
2200,,Hollabrunn/Schöngrabern,16.049999,48.616665,245.0,1976-05-01 00:00:00+00:00,1986-11-30 00:00:00+00:00,Niederösterreich,False,False,,37,1976-05-13 00:00:00+00:00,1986-11-30 23:59:59+00:00,nein
2201,,Hollabrunn/Schöngrabern,16.061945,48.604443,253.0,1989-04-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich,False,False,,37,1989-04-01 00:00:00+00:00,2007-12-31 23:59:59+00:00,nein
2203,,Hollabrunn,16.083334,48.566666,245.0,1973-04-01 00:00:00+00:00,1975-12-31 00:00:00+00:00,Niederösterreich,False,False,,37,1973-04-14 00:00:00+00:00,1975-12-31 23:59:59+00:00,nein
2206,,Hollabrunn,16.066668,48.566666,252.0,1936-01-01 00:00:00+00:00,1947-12-01 00:00:00+00:00,Niederösterreich,False,False,,37,1936-01-01 00:00:00+00:00,1947-11-30 23:59:59+00:00,nein
2207,11334,Schöngrabern,16.06167,48.60333,253.0,2007-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,37,2008-01-01 00:00:00+00:00,,nein
2210,,Ravelsbach,15.85,48.549999,265.0,1983-10-01 00:00:00+00:00,1988-07-31 00:00:00+00:00,Niederösterreich,False,False,,79,1983-10-01 00:00:00+00:00,1988-07-31 23:59:59+00:00,nein
2211,,Ravelsbach,15.848056,48.550835,259.0,1988-08-01 00:00:00+00:00,1995-06-30 00:00:00+00:00,Niederösterreich,False,False,,79,1988-08-01 00:00:00+00:00,1995-06-30 23:59:59+00:00,nein
2230,,Pillersdorf Öhlberg,15.933333,48.716667,315.0,1992-04-01 00:00:00+00:00,1993-11-30 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
2300,,Bergau,16.166666,48.516666,239.0,1981-01-01 00:00:00+00:00,1981-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
2310,,Wulzeshofen,16.299999,48.716667,184.0,1983-10-01 00:00:00+00:00,1984-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
2400,,Laa an der Thaya,16.385279,48.726112,187.0,1952-01-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich,False,False,,152,1952-01-01 00:00:00+00:00,2007-12-31 23:59:59+00:00,nein
